slug,live_form_id,headless_form_id,source_url,single_line_address,map_search_url
"lakecounty",31,31,"https://amerilife.com/lakecounty/","9800 US-441 #101, Leesburg, FL 34788","https://www.google.com/maps/search/?api=1&query=9800%20US-441%20%23101%2C%20Leesburg%2C%20FL%2034788"
"southcarolina",31,31,"https://amerilife.com/southcarolina/","420 The Parkway, Suite F, Greer, SC 29650","https://www.google.com/maps/search/?api=1&query=420%20The%20Parkway%2C%20Suite%20F%2C%20Greer%2C%20SC%2029650"
"northcarolina",31,31,"https://amerilife.com/northcarolina/","11016 Rushmore Dr. Ste.175, Charlotte, NC 28277","https://www.google.com/maps/search/?api=1&query=11016%20Rushmore%20Dr.%20Ste.175%2C%20Charlotte%2C%20NC%2028277"
"sarabay",31,31,"https://amerilife.com/sarabay/","5540 E State Rd 64, Suite 200, Bradenton, FL 34208","https://www.google.com/maps/search/?api=1&query=5540%20E%20State%20Rd%2064%2C%20Suite%20200%2C%20Bradenton%2C%20FL%2034208"
"leecounty",31,31,"https://amerilife.com/leecounty/","12195 Metro Parkway, Suite 4, Ft Myers, FL 33966","https://www.google.com/maps/search/?api=1&query=12195%20Metro%20Parkway%2C%20Suite%204%2C%20Ft%20Myers%2C%20FL%2033966"
"centralflorida",31,31,"https://amerilife.com/centralflorida/","631 South Orlando Ave, Suite 104, Winter Park, FL 32789","https://www.google.com/maps/search/?api=1&query=631%20South%20Orlando%20Ave%2C%20Suite%20104%2C%20Winter%20Park%2C%20FL%2032789"
"indianriver",31,31,"https://amerilife.com/indianriver/","1961 SW Park Place Suite 201, Vero Beach, FL 32966","https://www.google.com/maps/search/?api=1&query=1961%20SW%20Park%20Place%20Suite%20201%2C%20Vero%20Beach%2C%20FL%2032966"
"stpetersburg",31,31,"https://amerilife.com/stpetersburg/","3831 Tyrone Blvd., Suite 203, St Petersburg, FL 33709","https://www.google.com/maps/search/?api=1&query=3831%20Tyrone%20Blvd.%2C%20Suite%20203%2C%20St%20Petersburg%2C%20FL%2033709"
"northflorida",31,31,"https://amerilife.com/northflorida/","8081 Philips Highway, Suite 10, Jacksonville, FL 32256","https://www.google.com/maps/search/?api=1&query=8081%20Philips%20Highway%2C%20Suite%2010%2C%20Jacksonville%2C%20FL%2032256"
"southflorida",31,31,"https://amerilife.com/southflorida/","3625 NW 82nd Ave, Suite 401, Doral, FL 33166","https://www.google.com/maps/search/?api=1&query=3625%20NW%2082nd%20Ave%2C%20Suite%20401%2C%20Doral%2C%20FL%2033166"
"winstonsalem",31,31,"https://amerilife.com/winstonsalem/","4375 Silas Creek Parkway, Winston-Salem, NC 27104","https://www.google.com/maps/search/?api=1&query=4375%20Silas%20Creek%20Parkway%2C%20Winston-Salem%2C%20NC%2027104"
"polk",31,31,"https://amerilife.com/polk/","6322 Cypress Gardens Blvd., Winter Haven, FL 33884","https://www.google.com/maps/search/?api=1&query=6322%20Cypress%20Gardens%20Blvd.%2C%20Winter%20Haven%2C%20FL%2033884"
"debary",31,31,"https://amerilife.com/debary/","275 S Charles Richard Beall Blvd, Suite 108, Debary, FL 33884","https://www.google.com/maps/search/?api=1&query=275%20S%20Charles%20Richard%20Beall%20Blvd%2C%20Suite%20108%2C%20Debary%2C%20FL%2033884"
